COM_CODE,UPC,DESCRIP,SIZE,CASE,NITEM
329,7946860001,SEA LEGS CANNED LOBS,5.5 OZ,12,511560
329,8000000000,SOLID WHITE-SWTR SHP,3/3.2O,64,9811051
329,8000000090,STARKSIT CHNK LT LUN,5 OZ,12,502851
329,8000000091,STARKIST CHNK WHT LU,5 OZ,12,502861
329,8000000109,SK CHNK LGHT TUNA/WA,3/3 OZ,8,503311
329,8000000118,STARKIST CHK WHT TUN,6.12 O,12,503671
329,8000000134,~STAR K CNK LITE TUN,6.12 O,24,503551
329,8000000141,STAR K SOLID WHT TUN,6.12 O,24,503651
329,8000000145,SK SLD WHT ALBACORE-,12 OZ,12,502921
329,8000000147,STARKIST SLD WHITE T,3.25OZ,24,503101
329,8000000150,STARKIST SOLID WHITE,9 OZ,24,502821
329,8000000193,STARKIST HICKORY SMO,6.12 O,12,502901
329,8000000197,STAR K PRIME CTCH SL,6.12 O,12,502811
329,8000000198,STAR K PRIME CATCH O,6.5 OZ,24,502821
329,8000000244,STARKIST CK LT TUNA,3.25OZ,24,503311
329,8000000245,STAR K CH LT TUNA WA,6.12 O,48,503301
329,8000000280,STAR KIST CH LT TUNA,6.12 O,48,502801
329,8000000314,STAR KIST CHUNK LIGH,3.3 OZ,24,503051
329,8000000325,STARKIST CHUNK LIGHT,9 OZ,24,503321
329,8000000334,STAR KIST CHUNK TUNA,12.5 O,24,503331
329,8000000340,STARKIST CHK WHT TUN,9.75 O,8,503121
329,8000000487,EATWELL MACKEREL,15 OZ,24,500801
329,8000001020,SK CH LT PRE-MIX TUN,3.5 OZ,12,502941
329,8000001484,SK SLD WHT TUNA/WATE,3/3 OZ,8,503101
329,8000001717,STRKST LS/LF CHNK LT,3/3 OZ,8,503351
329,8000005498,STAR KIST LOW SLT CH,6.5 OZ,12,503341
329,8660000001,BUM BEE SOLID WHT TU,12.2OZ,24,500321
329,8660000002,BUMBLE BEE SOLID WHT,6.12 O,24,500281
329,8660000007,BUM BEE SOLID WHT TU,6.12 O,24,500301
329,8660000010,BUMBLE BEE DIET L/S,6.12 O,24,500511
329,8660000013,BUM BEE CHUNK WHT WA,6.12 O,24,500331
329,8660000022,BUMBLE BEE SLD WHT T,9.2 OZ,24,502761
329,8660000030,~BUMBLE BEE LGT TUNA,9.2 OZ,24,502731
329,8660000031,BUMBLE BEE CHK LT TU,12.5 O,24,502741
329,8660000033,BUM BEE/WATER CHK LI,6.12 O,48,500451
329,8660000037,BUM BEE OIL CHK LITE,6.12 O,48,500501
329,8660000064,BUMBLE BEE ALASKA RE,14.75O,12,502781
329,8660000070,BUMBLE BEE PINK SALM,14.7 O,24,502791
